trial,true_choice,predicted_choice,hit,nonhit,rating,origin_true_choice_probability,origin_posterior,origin_pred_probs,origin_entropy,origin_top1_hypothesis,origin_top1_probability,origin_top3_mass
32,3,3,1,0,2,0.3825818905075259,"{""13"": 0.013920406636677476, ""28"": 0.042715299470445015, ""46"": 0.009333804679702112, ""50"": 0.012366665667623258, ""61"": 0.0971608138820578, ""68"": 5.609726559028769e-09, ""90"": 0.05968881739231348, ""106"": 0.7480547216160366, ""113"": 0.01675946504541772}","[0.23503656083365113, 0.1007735001608308, 0.3825818905075259, 0.2816080484979923]",0.9725719423704946,106,0.7480547216160366,0.9049043528904078
33,3,3,1,0,2,0.6850335971690491,"{""13"": 0.023464016266976737, ""28"": 0.049856344733366295, ""38"": 0.034957016120728025, ""50"": 0.02008969343793874, ""61"": 0.08330458112599694, ""71"": 0.05017806637502626, ""90"": 0.06905483365096098, ""103"": 0.040220385336180275, ""106"": 0.6288750629528257}","[0.038926655464569956, 0.05666516742196882, 0.6850335971690491, 0.2193745799444121]",1.3959559841595168,106,0.6288750629528257,0.7812344777297836
34,3,3,1,0,2,0.4602634898420321,"{""14"": 0.02537156247509672, ""47"": 0.004591971746280216, ""61"": 0.06408431232105119, ""71"": 0.07545941006695478, ""90"": 0.03184087109916764, ""104"": 0.01248576602310513, ""106"": 0.7861661062683445}","[0.3882637616589443, 0.10743967632035656, 0.4602634898420321, 0.04403307217866695]",0.8426376885506648,106,0.7861661062683445,0.9257098286563504
35,4,4,1,0,1,0.90063541512169,"{""14"": 0.02669594822902321, ""34"": 0.0056949717029358615, ""61"": 0.0517047655626728, ""70"": 0.048299615256316236, ""71"": 0.060516800726080004, ""75"": 0.004883197547885454, ""90"": 0.02674082759282009, ""104"": 0.012625943460156145, ""106"": 0.7628379299221101}","[0.009438008684881835, 0.051639920669113624, 0.03828665552431458, 0.90063541512169]",0.9799621214627634,106,0.7628379299221101,0.8750594962108629
36,1,1,1,0,1,0.7653033738816831,"{""14"": 0.02122569824486393, ""61"": 0.025666027137191932, ""66"": 0.019988987501849634, ""71"": 0.04059975437847518, ""80"": 0.02216401677030272, ""90"": 0.01590390712593211, ""104"": 0.016148633017902935, ""106"": 0.8321871448226562, ""114"": 0.006115831000825359}","[0.7653033738816831, 0.06349468989833688, 0.12028813532890277, 0.05091380089107737]",0.7850275090948906,106,0.8321871448226562,0.8984529263383233
37,4,4,1,0,2,0.7853836529104994,"{""14"": 0.03079717336434718, ""61"": 0.034887636505985684, ""71"": 0.053847866968193235, ""75"": 0.009742298977629474, ""80"": 0.031702490318311696, ""83"": 0.008680774907287976, ""90"": 0.01998632606306623, ""106"": 0.8103554328951783}","[0.0200403836970634, 0.10526701230484105, 0.08930895108759623, 0.7853836529104994]",0.8259202855410347,106,0.8103554328951783,0.8990909363693572
38,1,1,1,0,2,0.4716858033118566,"{""14"": 0.011912280347512837, ""15"": 0.004251689806539686, ""58"": 0.017701589431488262, ""61"": 0.022794556764764023, ""71"": 0.013500120854221314, ""80"": 0.03861051689441338, ""84"": 0.00981425617212437, ""90"": 0.010893060606017035, ""106"": 0.8705219291229193}","[0.4716858033118566, 0.08255403688997415, 0.09847177655972056, 0.34728838323844885]",0.632679073520329,106,0.8705219291229193,0.9319270027820967
39,4,4,1,0,3,0.8310056278487508,"{""14"": 0.024137238203887267, ""15"": 0.011680664964105286, ""39"": 0.005766223123478094, ""61"": 0.043580186247083666, ""75"": 0.009852957832874909, ""80"": 0.053716869886600425, ""84"": 0.02251345316482023, ""90"": 0.020881348430442304, ""106"": 0.8078710581467076}","[0.01455847268204636, 0.058361119237776635, 0.09607478023142628, 0.8310056278487508]",0.8492839582038882,106,0.8078710581467076,0.9051681142803917
40,3,1,0,1,2,0.15242162321132693,"{""4"": 0.0045913497552235215, ""14"": 0.011782618835662576, ""15"": 0.005066379542474108, ""31"": 0.015247058729705895, ""61"": 0.01698192496935432, ""80"": 0.06541171221781596, ""84"": 0.02169829663432129, ""106"": 0.8583888450613631, ""115"": 0.0008318142540794041}","[0.594957765343735, 0.2106000686366399, 0.15242162321132693, 0.04202054280829818]",0.6352887471879918,106,0.8583888450613631,0.9454988539135004
41,1,1,1,0,2,0.5449256557016147,"{""14"": 0.05220718692727823, ""15"": 0.024599989449315712, ""31"": 0.033540923812731105, ""32"": 0.006653188642839488, ""61"": 0.05327877219813332, ""75"": 0.012795874833381037, ""80"": 0.2458399017667478, ""84"": 0.08747553642979064, ""106"": 0.4836086259397826}","[0.5449256557016147, 0.1219029903292229, 0.2961137475254837, 0.037057606443678844]",1.5138939121376,106,0.4836086259397826,0.816924064136321
42,2,2,1,0,2,0.3710949406546607,"{""14"": 0.01795331877734597, ""24"": 0.024020033732213415, ""61"": 0.043818523284774966, ""75"": 0.024819218149335576, ""80"": 0.022292202170398068, ""96"": 0.09044058031510736, ""106"": 0.7766561235708245}","[0.2985351905047891, 0.3710949406546607, 0.07561644482038006, 0.25475342402017015]",0.8889547423437931,106,0.7766561235708245,0.9109152271707068
43,2,1,0,1,4,0.40554002753005847,"{""14"": 0.029232987459266762, ""31"": 0.004444359938977106, ""47"": 0.0070497266818188645, ""61"": 0.03370849088938771, ""75"": 0.015793226413261217, ""80"": 0.010024953708863535, ""96"": 0.06026216501451807, ""98"": 0.007592756643312728, ""106"": 0.831891333250594}","[0.5085252150141402, 0.40554002753005847, 0.04764076316498145, 0.038293994290819894]",0.7476407429320753,106,0.831891333250594,0.9258619891544997
44,2,2,1,0,2,0.7180454379936704,"{""14"": 0.06628699289841246, ""28"": 0.0032955141574088328, ""61"": 0.021525823665236407, ""75"": 0.006241724005405582, ""80"": 0.006456967463451839, ""96"": 0.02964774822928188, ""103"": 0.003611133363506962, ""106"": 0.8629340962172959}","[0.08416921514993479, 0.7180454379936704, 0.1764820436227057, 0.021303303233689175]",0.5974253826596042,106,0.8629340962172959,0.9588688373449902
45,4,4,1,0,3,0.7954422892090435,"{""7"": 0.00950688881995936, ""14"": 0.08187783704868194, ""28"": 0.0039357273947212695, ""61"": 0.023242767913420573, ""68"": 0.021638368981922923, ""80"": 0.011781420451035297, ""96"": 0.026587243049592583, ""103"": 0.003888378672771294, ""106"": 0.8175413676678946}","[0.03642565078362676, 0.06305055531732458, 0.10508150469000527, 0.7954422892090435]",0.7763785559815816,106,0.8175413676678946,0.9260064477661691
46,3,2,0,1,1,0.19562263138737035,"{""10"": 0.0098099297486316, ""14"": 0.0403122167520004, ""31"": 0.023237794931211888, ""61"": 0.010518280171894939, ""68"": 0.015532664548947394, ""80"": 0.013334680725694796, ""96"": 0.00922450791263214, ""106"": 0.8780299252089868}","[0.10794330788248215, 0.6675149682752062, 0.19562263138737035, 0.028919092454941314]",0.5898342429562483,106,0.8780299252089868,0.9415799368921991
47,1,1,1,0,2,0.8179721570284431,"{""3"": 0.0038841961413507323, ""10"": 0.0328198688464112, ""14"": 0.08930652752785141, ""31"": 0.017088827851436332, ""61"": 0.03418174976458041, ""68"": 0.03986026291343586, ""71"": 0.01505819375174819, ""96"": 0.05397788077402691, ""106"": 0.713822492429159}","[0.8179721570284431, 0.13480097156759466, 0.0231914604340279, 0.024035410969934435]",1.1242149033148738,106,0.713822492429159,0.8571069007310372
48,3,3,1,0,2,0.4598077404814591,"{""10"": 0.023753753734051978, ""14"": 0.02568422762461047, ""61"": 0.025755379291533424, ""68"": 7.82404708226776e-09, ""70"": 5.330103959484384e-09, ""75"": 4.978333886585992e-09, ""106"": 0.8711820124053004, ""110"": 0.053624608812018956}","[0.029093924855375364, 0.4145022149642251, 0.4598077404814591, 0.09659611969894044]",0.5541658974519972,106,0.8711820124053004,0.9505620005088526
49,3,3,1,0,2,0.9268494354538104,"{""10"": 0.038102630745511415, ""14"": 0.029629830288097955, ""56"": 0.004436365031820983, ""61"": 0.03467608449766561, ""68"": 6.78936439282914e-08, ""71"": 0.01246843663064422, ""75"": 2.293093227310246e-08, ""106"": 0.8038960022759555, ""110"": 0.07679055970572814}","[0.0118965818220729, 0.040198581600096074, 0.9268494354538104, 0.02105540112402059]",0.7966176113368861,106,0.8038960022759555,0.9187891927271951
50,2,2,1,0,1,0.4021122276378029,"{""9"": 0.0051187304268069415, ""10"": 0.045090375790523524, ""14"": 0.037304921764133296, ""56"": 0.007665828004170082, ""58"": 0.018001505863728205, ""71"": 0.020603699682093513, ""94"": 0.016591983460300844, ""106"": 0.7517094436115328, ""110"": 0.09791351139671076}","[0.13594576107365114, 0.4021122276378029, 0.3903319099297052, 0.07161010135884081]",0.9891370901385411,106,0.7517094436115328,0.8947133307987671
51,1,1,1,0,2,0.8231696671005923,"{""10"": 0.07596612850157783, ""27"": 0.0035655002354853522, ""58"": 0.0026005967680169753, ""68"": 0.020428254702375276, ""71"": 0.04724185290664454, ""94"": 0.0506915741308431, ""106"": 0.7818013341240982, ""107"": 0.010329414081791674, ""110"": 0.0073753445491669305}","[0.8231696671005923, 0.039197108250396455, 0.03861974473550707, 0.09901347991350425]",0.8821134458942994,106,0.7818013341240982,0.9084590367565192
52,3,3,1,0,3,0.7885927583317208,"{""10"": 0.032180530535478466, ""58"": 0.004427137194782767, ""68"": 0.03177098405781061, ""71"": 0.06317088509840815, ""74"": 0.01875075101189338, ""75"": 0.022965832941181596, ""94"": 0.0706311026434497, ""99"": 0.016487951982445875, ""106"": 0.7396148245345493}","[0.07394326885907508, 0.0682512754261315, 0.7885927583317208, 0.06921269738307272]",1.0578315395295226,106,0.7396148245345493,0.8734168122764072
