subID,condition,level,iTrial,orien,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
317,4,5,13,1,1.250,1.225,-0.025,1.000,0.975,-0.025,2,2,1,0.388,0.026,0.029
317,4,5,14,-1,1.250,1.226,-0.024,1.000,0.976,-0.024,1,2,0,1.375,0.029,0.029
317,4,5,15,-1,1.250,1.223,-0.027,1.000,0.973,-0.027,1,1,1,1.468,0.028,0.029
317,4,5,16,1,1.250,1.224,-0.026,1.000,0.974,-0.026,1,2,0,1.276,0.031,0.029
317,4,5,17,-1,1.250,1.221,-0.029,1.000,0.971,-0.029,1,1,1,0.289,0.030,0.029
317,4,5,18,-1,1.250,1.223,-0.027,1.000,0.973,-0.027,2,2,1,0.429,0.028,0.029
317,4,5,19,-1,1.250,1.224,-0.026,1.000,0.974,-0.026,2,2,1,0.822,0.027,0.029
317,4,5,20,-1,1.250,1.225,-0.025,1.000,0.975,-0.025,1,2,0,3.088,0.030,0.029
317,4,5,21,1,1.250,1.222,-0.028,1.000,0.972,-0.028,2,2,1,0.712,0.029,0.029
317,4,5,22,-1,1.250,1.224,-0.026,1.000,0.974,-0.026,1,2,0,1.124,0.032,0.028
317,4,5,23,-1,1.250,1.221,-0.029,1.000,0.971,-0.029,2,2,1,0.485,0.031,0.028
317,4,5,24,1,1.250,1.222,-0.028,1.000,0.972,-0.028,1,1,1,0.641,0.029,0.028
317,4,5,25,-1,1.250,1.223,-0.027,1.000,0.973,-0.027,2,2,1,0.466,0.028,0.028
317,4,5,26,1,1.250,1.224,-0.026,1.000,0.974,-0.026,1,1,1,1.340,0.027,0.028
317,4,5,27,1,1.250,1.226,-0.024,1.000,0.976,-0.024,1,2,0,1.896,0.030,0.028
317,4,5,28,-1,1.250,1.223,-0.027,1.000,0.973,-0.027,1,1,1,2.874,0.028,0.028
317,4,5,29,-1,1.250,1.224,-0.026,1.000,0.974,-0.026,1,2,0,0.413,0.031,0.028
317,4,5,30,1,1.250,1.221,-0.029,1.000,0.971,-0.029,1,1,1,1.684,0.030,0.028
317,4,1,1,1,0.250,0.278,0.028,0.000,0.028,0.028,2,2,1,1.260,0.029,0.030
317,4,1,2,1,0.250,0.276,0.026,0.000,0.026,0.026,1,2,0,1.695,0.032,0.030
317,4,1,3,-1,0.250,0.280,0.030,0.000,0.030,0.030,2,2,1,0.396,0.031,0.030
317,4,1,4,1,0.250,0.278,0.028,0.000,0.028,0.028,1,1,1,0.337,0.029,0.030
317,4,1,5,1,0.250,0.277,0.027,0.000,0.027,0.027,1,1,1,3.365,0.028,0.030
317,4,1,6,1,0.250,0.276,0.026,0.000,0.026,0.026,2,2,1,1.422,0.026,0.030
317,4,1,7,-1,0.250,0.274,0.024,0.000,0.024,0.024,1,1,1,0.964,0.025,0.030
317,4,1,8,-1,0.250,0.273,0.023,0.000,0.023,0.023,1,1,1,2.359,0.024,0.030
317,4,1,9,1,0.250,0.271,0.021,0.000,0.021,0.021,2,2,1,3.286,0.022,0.030
317,4,1,10,-1,0.250,0.270,0.020,0.000,0.020,0.020,1,1,1,0.346,0.021,0.030
317,4,1,11,-1,0.250,0.269,0.019,0.000,0.019,0.019,1,1,1,0.990,0.019,0.030
317,4,1,12,1,0.250,0.267,0.017,0.000,0.017,0.017,1,1,1,0.486,0.018,0.030
317,4,1,13,1,0.250,0.266,0.016,0.000,0.016,0.016,2,2,1,0.761,0.017,0.030
317,4,1,14,-1,0.250,0.264,0.014,0.000,0.014,0.014,1,1,1,0.822,0.015,0.030
317,4,1,15,-1,0.250,0.263,0.013,0.000,0.013,0.013,2,2,1,0.389,0.014,0.030
317,4,1,16,-1,0.250,0.262,0.012,0.000,0.012,0.012,1,1,1,2.010,0.013,0.030
317,4,1,17,1,0.250,0.260,0.010,0.000,0.010,0.010,2,2,1,0.731,0.011,0.030
317,4,1,18,-1,0.250,0.259,0.009,0.000,0.009,0.009,1,1,1,0.482,0.010,0.030
317,4,1,19,-1,0.250,0.257,0.007,0.000,0.007,0.007,1,1,1,0.634,0.008,0.030
317,4,1,20,-1,0.250,0.256,0.006,0.000,0.006,0.006,2,1,0,1.651,0.012,0.030
317,4,1,21,1,0.250,0.259,0.009,0.000,0.009,0.009,1,1,1,0.395,0.010,0.030
317,4,1,22,-1,0.250,0.258,0.008,0.000,0.008,0.008,2,2,1,0.966,0.009,0.030
317,4,1,23,1,0.250,0.257,0.007,0.000,0.007,0.007,2,2,1,1.436,0.008,0.030
317,4,1,24,-1,0.250,0.255,0.005,0.000,0.005,0.005,2,2,1,0.428,0.006,0.030
317,4,1,25,1,0.250,0.254,0.004,0.000,0.004,0.004,2,2,1,1.226,0.005,0.029
317,4,1,26,-1,0.250,0.252,0.002,0.000,0.002,0.002,2,1,0,0.788,0.008,0.029
