subID,condition,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
1,3,3,3,2.500,2.413,-0.087,0.500,0.471,-0.029,2,1,0,0.329,0.032,0.016
1,3,3,4,2.500,2.405,-0.095,0.500,0.468,-0.032,1,1,1,0.123,0.031,0.016
1,3,3,5,2.500,2.592,0.092,0.500,0.531,0.031,2,1,0,0.250,0.033,0.015
1,3,3,6,2.500,2.599,0.099,0.500,0.533,0.033,2,1,0,0.363,0.036,0.015
1,3,3,7,2.500,2.607,0.107,0.500,0.536,0.036,1,1,1,0.206,0.035,0.015
1,3,3,8,2.500,2.396,-0.104,0.500,0.465,-0.035,2,1,0,0.231,0.037,0.015
1,3,3,9,2.500,2.610,0.110,0.500,0.537,0.037,1,1,1,0.097,0.036,0.015
1,3,3,10,2.500,2.393,-0.107,0.500,0.464,-0.036,2,1,0,0.136,0.039,0.014
1,3,3,11,2.500,2.614,0.114,0.500,0.538,0.038,2,1,0,0.130,0.041,0.014
1,3,3,12,2.500,2.621,0.121,0.500,0.540,0.040,1,1,1,0.021,0.040,0.014
1,3,3,13,2.500,2.382,-0.118,0.500,0.461,-0.039,1,1,1,0.447,0.039,0.014
1,3,3,14,2.500,2.385,-0.115,0.500,0.462,-0.038,1,1,1,0.134,0.038,0.014
1,3,3,15,2.500,2.612,0.112,0.500,0.537,0.037,1,1,1,0.111,0.037,0.014
1,3,3,16,2.500,2.610,0.110,0.500,0.537,0.037,2,2,1,0.397,0.036,0.014
1,3,3,17,2.500,2.607,0.107,0.500,0.536,0.036,2,1,0,0.309,0.038,0.014
1,3,3,18,2.500,2.387,-0.113,0.500,0.462,-0.038,1,1,1,5.037,0.037,0.014
1,3,3,19,2.500,2.389,-0.111,0.500,0.463,-0.037,1,1,1,1.495,0.037,0.014
1,3,3,20,2.500,2.608,0.108,0.500,0.536,0.036,1,1,1,0.221,0.036,0.014
1,3,3,21,2.500,2.605,0.105,0.500,0.535,0.035,2,1,0,0.237,0.038,0.014
1,3,3,22,2.500,2.612,0.112,0.500,0.537,0.037,1,1,1,0.273,0.037,0.014
1,3,3,23,2.500,2.391,-0.109,0.500,0.464,-0.036,2,2,1,0.268,0.036,0.014
1,3,3,24,2.500,2.394,-0.106,0.500,0.465,-0.035,2,2,1,0.382,0.035,0.014
1,3,3,25,2.500,2.396,-0.104,0.500,0.465,-0.035,2,1,0,0.570,0.037,0.013
