subID,condition,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
402,3,5,5,4.000,3.946,-0.054,1.000,0.982,-0.018,2,2,1,0.215,0.017,0.017
402,3,5,6,4.000,3.950,-0.050,1.000,0.983,-0.017,2,2,1,0.070,0.016,0.017
402,3,5,7,4.000,3.953,-0.047,1.000,0.984,-0.016,2,2,1,0.810,0.015,0.017
402,3,5,8,4.000,3.957,-0.043,1.000,0.986,-0.014,1,2,0,1.934,0.017,0.016
402,3,5,9,4.000,3.949,-0.051,1.000,0.983,-0.017,1,2,0,0.604,0.020,0.016
402,3,5,10,4.000,3.940,-0.060,1.000,0.980,-0.020,2,2,1,0.007,0.019,0.016
402,3,5,11,4.000,3.944,-0.056,1.000,0.981,-0.019,1,2,0,0.431,0.022,0.016
402,3,5,12,4.000,3.935,-0.065,1.000,0.978,-0.022,1,1,1,0.124,0.021,0.016
402,3,5,13,4.000,3.939,-0.061,1.000,0.980,-0.020,2,2,1,0.395,0.020,0.016
402,3,5,14,4.000,3.942,-0.058,1.000,0.981,-0.019,2,1,0,0.436,0.022,0.015
402,3,5,15,4.000,3.934,-0.066,1.000,0.978,-0.022,1,1,1,0.194,0.021,0.015
402,3,5,16,4.000,3.938,-0.062,1.000,0.979,-0.021,2,2,1,0.054,0.020,0.015
402,3,5,17,4.000,3.941,-0.059,1.000,0.980,-0.020,1,2,0,0.132,0.023,0.015
402,3,5,18,4.000,3.933,-0.067,1.000,0.978,-0.022,2,2,1,0.145,0.022,0.015
402,3,5,19,4.000,3.937,-0.063,1.000,0.979,-0.021,1,1,1,0.978,0.021,0.015
402,3,5,20,4.000,3.940,-0.060,1.000,0.980,-0.020,2,2,1,0.689,0.020,0.015
402,3,5,21,4.000,3.943,-0.057,1.000,0.981,-0.019,1,2,0,0.075,0.022,0.015
402,3,5,22,4.000,3.936,-0.064,1.000,0.979,-0.021,2,2,1,0.084,0.021,0.015
