subID,feature,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
403,3,2,17,1.750,1.700,-0.050,0.250,0.233,-0.017,2,2,1,0.250,0.016,0.015
403,3,2,18,1.750,1.704,-0.046,0.250,0.235,-0.015,1,1,1,0.185,0.015,0.015
403,3,2,19,1.750,1.793,0.043,0.250,0.264,0.014,1,1,1,0.394,0.014,0.015
403,3,2,20,1.750,1.710,-0.040,0.250,0.237,-0.013,1,1,1,0.187,0.013,0.015
403,3,2,21,1.750,1.713,-0.037,0.250,0.238,-0.012,2,2,1,0.122,0.012,0.015
403,3,2,22,1.750,1.783,0.033,0.250,0.261,0.011,1,1,1,0.270,0.011,0.015
403,3,2,23,1.750,1.720,-0.030,0.250,0.240,-0.010,1,1,1,0.094,0.010,0.015
403,3,2,24,1.750,1.723,-0.027,0.250,0.241,-0.009,2,1,0,0.267,0.012,0.015
403,3,2,25,1.750,1.784,0.034,0.250,0.261,0.011,1,2,0,0.216,0.014,0.015
403,3,2,26,1.750,1.709,-0.041,0.250,0.236,-0.014,1,1,1,0.270,0.013,0.015
403,3,2,27,1.750,1.788,0.038,0.250,0.263,0.013,2,1,0,0.384,0.016,0.015
403,3,2,28,1.750,1.705,-0.045,0.250,0.235,-0.015,2,2,1,0.061,0.015,0.015
403,3,2,29,1.750,1.792,0.042,0.250,0.264,0.014,1,1,1,0.160,0.014,0.015
403,3,2,30,1.750,1.789,0.039,0.250,0.263,0.013,1,1,1,0.247,0.013,0.015
403,1,2,1,1.750,1.680,-0.070,0.250,0.227,-0.023,1,2,0,0.153,0.026,0.016
403,1,2,2,1.750,1.671,-0.079,0.250,0.224,-0.026,2,2,1,0.020,0.025,0.016
403,1,2,3,1.750,1.825,0.075,0.250,0.275,0.025,2,2,1,0.053,0.024,0.016
403,1,2,4,1.750,1.821,0.071,0.250,0.274,0.024,1,1,1,0.035,0.023,0.016
403,1,2,5,1.750,1.682,-0.068,0.250,0.227,-0.023,2,2,1,0.111,0.022,0.016
403,1,2,6,1.750,1.814,0.064,0.250,0.271,0.021,2,2,1,0.067,0.020,0.016
403,1,2,7,1.750,1.690,-0.060,0.250,0.230,-0.020,1,1,1,0.025,0.019,0.016
403,1,2,8,1.750,1.693,-0.057,0.250,0.231,-0.019,1,1,1,0.430,0.018,0.016
403,1,2,9,1.750,1.803,0.053,0.250,0.268,0.018,1,1,1,0.042,0.017,0.016
403,1,2,10,1.750,1.701,-0.049,0.250,0.234,-0.016,1,1,1,0.027,0.016,0.016
403,1,2,11,1.750,1.704,-0.046,0.250,0.235,-0.015,2,2,1,0.098,0.014,0.016
403,1,2,12,1.750,1.708,-0.042,0.250,0.236,-0.014,1,1,1,0.012,0.013,0.016
403,1,2,13,1.750,1.712,-0.038,0.250,0.237,-0.013,1,2,0,0.100,0.016,0.016
403,1,2,14,1.750,1.797,0.047,0.250,0.266,0.016,1,1,1,0.076,0.015,0.016
403,1,2,15,1.750,1.707,-0.043,0.250,0.236,-0.014,1,1,1,0.090,0.014,0.016
403,1,2,16,1.750,1.790,0.040,0.250,0.263,0.013,2,2,1,0.049,0.013,0.016
403,1,2,17,1.750,1.786,0.036,0.250,0.262,0.012,1,1,1,0.033,0.011,0.016
403,1,2,18,1.750,1.783,0.033,0.250,0.261,0.011,1,1,1,0.086,0.010,0.016
403,1,2,19,1.750,1.779,0.029,0.250,0.260,0.010,2,2,1,0.083,0.009,0.016
403,1,2,20,1.750,1.724,-0.026,0.250,0.241,-0.009,2,2,1,0.057,0.008,0.016
403,1,2,21,1.750,1.727,-0.023,0.250,0.242,-0.008,1,2,0,0.014,0.011,0.015
403,1,2,22,1.750,1.780,0.030,0.250,0.260,0.010,1,1,1,0.072,0.010,0.015
403,1,2,23,1.750,1.723,-0.027,0.250,0.241,-0.009,2,2,1,0.026,0.008,0.015
403,1,2,24,1.750,1.726,-0.024,0.250,0.242,-0.008,2,2,1,0.019,0.007,0.015
403,1,2,25,1.750,1.730,-0.020,0.250,0.243,-0.007,2,2,1,0.108,0.006,0.015
403,1,2,26,1.750,1.733,-0.017,0.250,0.244,-0.006,1,2,0,0.170,0.009,0.015
403,1,2,27,1.750,1.775,0.025,0.250,0.258,0.008,2,2,1,0.068,0.008,0.015
403,1,2,28,1.750,1.729,-0.021,0.250,0.243,-0.007,2,2,1,0.191,0.007,0.015
403,1,2,29,1.750,1.732,-0.018,0.250,0.244,-0.006,2,1,0,0.024,0.009,0.015
403,1,2,30,1.750,1.776,0.026,0.250,0.259,0.009,2,2,1,0.143,0.008,0.015
403,1,1,1,1.000,1.070,0.070,0.000,0.023,0.023,2,2,1,0.039,0.022,0.017
403,1,1,2,1.000,1.066,0.066,0.000,0.022,0.022,2,2,1,0.134,0.021,0.017
403,1,1,3,1.000,1.062,0.062,0.000,0.021,0.021,1,1,1,0.089,0.020,0.017
403,1,1,4,1.000,1.058,0.058,0.000,0.019,0.019,2,2,1,0.099,0.018,0.017
403,1,1,5,1.000,1.054,0.054,0.000,0.018,0.018,1,1,1,0.150,0.017,0.017
