iTrial,x,y,node,timestamp
6,758.8194187433141,278.33333333333337,head_end,1733577416789
6,758.8194187433141,278.33333333333337,head_end,1733577416805
6,758.8194187433141,278.33333333333337,head_end,1733577416822
6,758.8194187433141,278.33333333333337,head_end,1733577416839
6,758.8194187433141,278.33333333333337,head_end,1733577416855
6,708,237,up,1733577416924
7,368,274,down,1733577419712
7,365.3736348809333,278.7671608964842,head_end,1733577419728
7,362.68844125924863,280.3174581567901,head_end,1733577419739
7,352.3347695260707,286.2951533190414,head_end,1733577419755
7,333.10861608888706,297.3953781814804,head_end,1733577419772
7,310.8139754363011,310.26719496373687,head_end,1733577419789
7,291.06951126738306,321.66666666666663,head_end,1733577419805
7,291.06951126738306,321.66666666666663,head_end,1733577419822
7,291.06951126738306,321.66666666666663,head_end,1733577419839
7,291.06951126738306,321.66666666666663,head_end,1733577419855
7,291.06951126738306,321.66666666666663,head_end,1733577419872
7,291.06951126738306,321.66666666666663,head_end,1733577419889
7,44,318,up,1733577419931
7,426,237,down,1733577421152
7,431.0477375221693,239.98313327555383,head_neck,1733577421224
7,427.9315235207702,238.18398628299357,head_neck,1733577421239
7,412.46390631455165,229.25375332526121,head_neck,1733577421255
7,394.27087188502867,218.75,head_neck,1733577421272
7,394.27087188502867,218.75,head_neck,1733577421289
7,394.27087188502867,218.75,head_neck,1733577421305
7,394.27087188502867,218.75,head_neck,1733577421322
7,394.27087188502867,218.75,head_neck,1733577421338
7,394.27087188502867,218.75,head_neck,1733577421355
7,394.27087188502867,218.75,head_neck,1733577421405
7,394.27087188502867,218.75,head_neck,1733577421422
7,394.27087188502867,218.75,head_neck,1733577421438
7,247,147,up,1733577421438
8,399,278,down,1733577424448
8,403.2138607071077,278.5867629962128,head_end,1733577424502
8,399.77135310736924,280.5742956856092,head_end,1733577424510
8,393.6347344450315,284.117274122224,head_end,1733577424522
8,369.12434812018085,298.2683522648182,head_end,1733577424538
8,309.83339501604587,332.5,head_end,1733577424555
8,309.83339501604587,332.5,head_end,1733577424572
8,309.83339501604587,332.5,head_end,1733577424588
8,-271,358,up,1733577424684
8,450,254,down,1733577426054
8,448.6294324980613,250.13392960269493,head_neck,1733577426070
8,445.51318144241804,248.3347612168569,head_neck,1733577426078
8,438.96096697208816,244.55183842862374,head_neck,1733577426088
8,408.8541287109443,227.1696472541038,head_neck,1733577426105
8,394.27087188502867,218.75,head_neck,1733577426122
8,394.27087188502867,218.75,head_neck,1733577426138
8,394.27087188502867,218.75,head_neck,1733577426155
