iSub,feature_name,level,threshold_mean_mean
107,tail,1,0.016733333333333333
107,tail,2,0.017900000000000003
107,tail,3,0.023799999999999998
107,tail,4,0.0283
107,tail,5,0.027666666666666666
108,neck,1,0.020866666666666665
108,neck,2,0.0285
108,neck,3,0.02706666666666667
108,neck,4,0.0329
108,neck,5,0.031200000000000002
108,head,1,0.01863333333333333
108,head,2,0.02333333333333333
108,head,3,0.029133333333333334
108,head,4,0.029500000000000002
108,head,5,0.023766666666666665
108,leg,1,0.0201
108,leg,2,0.03163333333333333
108,leg,3,0.030600000000000002
108,leg,4,0.0242
108,leg,5,0.0324
108,tail,1,0.019166666666666665
108,tail,2,0.031233333333333335
108,tail,3,0.030866666666666667
108,tail,4,0.027533333333333333
108,tail,5,0.031000000000000003
109,neck,1,0.020766666666666666
109,neck,2,0.0292
109,neck,3,0.033800000000000004
109,neck,4,0.030766666666666668
109,neck,5,0.04053333333333333
109,head,1,0.025166666666666667
109,head,2,0.0276
109,head,3,0.038033333333333336
109,head,4,0.0404
109,head,5,0.030433333333333333
109,leg,1,0.017933333333333336
109,leg,2,0.0227
109,leg,3,0.0315
109,leg,4,0.033766666666666674
109,leg,5,0.012466666666666666
109,tail,1,0.025033333333333335
109,tail,2,0.021033333333333334
109,tail,3,0.037766666666666664
109,tail,4,0.030733333333333335
109,tail,5,0.0294
110,neck,1,0.021066666666666668
110,neck,2,0.022333333333333334
110,neck,3,0.0324
110,neck,4,0.03546666666666667
110,neck,5,0.03780000000000001
110,head,1,0.0173
110,head,2,0.020733333333333333
110,head,3,0.032633333333333334
110,head,4,0.028066666666666667
110,head,5,0.034499999999999996
110,leg,1,0.020466666666666668
110,leg,2,0.022733333333333335
110,leg,3,0.023799999999999998
110,leg,4,0.023733333333333332
110,leg,5,0.0371
110,tail,1,0.015033333333333334
110,tail,2,0.018000000000000002
110,tail,3,0.023266666666666665
110,tail,4,0.030233333333333334
110,tail,5,0.028533333333333334
111,neck,1,0.0157
111,neck,2,0.028566666666666667
111,neck,3,0.029533333333333335
111,neck,4,0.030633333333333335
111,neck,5,0.0231
111,head,1,0.017766666666666667
111,head,2,0.016233333333333332
111,head,3,0.03116666666666667
111,head,4,0.027533333333333333
111,head,5,0.024766666666666666
111,leg,1,0.0151
111,leg,2,0.0221
111,leg,3,0.03386666666666667
111,leg,4,0.027966666666666664
111,leg,5,0.031100000000000003
111,tail,1,0.0166
111,tail,2,0.0181
111,tail,3,0.01933333333333333
111,tail,4,0.025366666666666666
111,tail,5,0.027299999999999998
112,neck,1,0.0212
112,neck,2,0.029933333333333333
112,neck,3,0.030266666666666667
112,neck,4,0.0415
112,neck,5,0.03453333333333333
112,head,1,0.0205
112,head,2,0.026133333333333335
112,head,3,0.022766666666666668
112,head,4,0.0235
112,head,5,0.033166666666666664
112,leg,1,0.0213
112,leg,2,0.021433333333333335
112,leg,3,0.0332
112,leg,4,0.030433333333333333
112,leg,5,0.0328
112,tail,1,0.021833333333333333
112,tail,2,0.017233333333333333
112,tail,3,0.030833333333333334
112,tail,4,0.0333
112,tail,5,0.031033333333333336
113,neck,1,0.011533333333333333
113,neck,2,0.016900000000000002
113,neck,3,0.0256
113,neck,4,0.0267
113,neck,5,0.03986666666666667
113,head,1,0.0197
113,head,2,0.03166666666666666
113,head,3,0.028733333333333333
113,head,4,0.028966666666666665
113,head,5,0.037233333333333334
113,leg,1,0.0202
113,leg,2,0.027000000000000003
113,leg,3,0.02696666666666667
113,leg,4,0.04013333333333333
