version,condition,structure1,structure2,iTrial,stiID,category,choice,feedback,choRT
1,3,1,6,159,193,1,1,1.0,1.392
1,3,1,6,160,324,2,2,1.0,1.687
1,3,1,6,161,458,2,2,1.0,2.116
1,3,1,6,162,329,2,2,1.0,0.901
1,3,1,6,163,310,4,4,1.0,1.639
1,3,1,6,164,158,3,3,1.0,3.106
1,3,1,6,165,24,3,3,1.0,1.648
1,3,1,6,166,244,1,1,1.0,7.588
1,3,1,6,167,140,1,1,1.0,1.214
1,3,1,6,168,346,2,2,1.0,1.269
1,3,1,6,169,216,3,3,1.0,2.523
1,3,1,6,170,27,1,1,1.0,5.847
1,3,1,6,171,283,2,2,1.0,1.613
1,3,1,6,172,88,3,3,1.0,1.635
1,3,1,6,173,2,1,1,1.0,1.313
1,3,1,6,174,333,3,3,1.0,2.515
1,3,1,6,175,209,1,1,1.0,1.337
1,3,1,6,176,281,2,2,1.0,4.735
1,3,1,6,177,497,2,2,1.0,4.437
1,3,1,6,178,32,3,3,1.0,3.09
1,3,1,6,179,374,4,4,1.0,8.91
1,3,1,6,180,286,3,3,1.0,1.241
1,3,1,6,181,234,1,1,1.0,7.799
1,3,1,6,182,285,3,3,1.0,1.955
1,3,1,6,183,284,2,2,1.0,4.809
1,3,1,6,184,433,2,2,1.0,5.391
1,3,1,6,185,428,2,2,1.0,1.416
1,3,1,6,186,217,1,1,1.0,1.1
1,3,1,6,187,242,1,1,1.0,0.927
1,3,1,6,188,275,2,2,1.0,1.49
1,3,1,6,189,373,4,4,1.0,4.604
1,3,1,6,190,198,3,3,1.0,1.206
1,3,1,6,191,192,4,4,1.0,2.582
1,3,1,6,192,470,3,3,1.0,6.749
1,3,1,6,193,59,1,1,1.0,2.408
1,3,1,6,194,483,2,2,1.0,1.044
1,3,1,6,195,229,4,4,1.0,2.685
1,3,1,6,196,449,2,2,1.0,1.308
1,3,1,6,197,436,2,2,1.0,2.415
1,3,1,6,198,317,4,4,1.0,1.493
1,3,1,6,199,307,2,2,1.0,5.165
1,3,1,6,200,175,4,4,1.0,2.086
1,3,1,6,201,197,3,3,1.0,8.955
1,3,1,6,202,437,4,4,1.0,1.571
1,3,1,6,203,254,4,4,1.0,1.088
1,3,1,6,204,266,2,2,1.0,1.902
1,3,1,6,205,228,1,1,1.0,1.75
1,3,1,6,206,382,4,4,1.0,6.983
1,3,1,6,207,97,1,1,1.0,1.337
1,3,1,6,208,376,4,4,1.0,1.157
1,3,1,6,209,287,3,3,1.0,1.578
1,3,1,6,210,432,4,4,1.0,1.681
1,3,1,6,211,79,3,3,1.0,8.772
1,3,1,6,212,181,4,4,1.0,1.834
1,3,1,6,213,162,1,1,1.0,1.451
1,3,1,6,214,323,2,2,1.0,7.503
1,3,1,6,215,225,1,1,1.0,1.215
1,3,1,6,216,1,1,1,1.0,1.006
1,3,1,6,217,199,3,3,1.0,1.62
1,3,1,6,218,143,3,3,1.0,1.844
1,3,1,6,219,108,1,1,1.0,15.892
1,3,1,6,220,463,3,3,1.0,2.325
1,3,1,6,221,215,3,3,1.0,0.954
1,3,1,6,222,379,2,2,1.0,2.636
1,3,1,6,223,149,3,3,1.0,1.73
1,3,1,6,224,419,2,2,1.0,1.366
1,3,1,6,225,167,4,4,1.0,2.456
1,3,1,6,226,219,1,1,1.0,4.473
1,3,1,6,227,110,4,4,1.0,1.612
1,3,1,6,228,152,3,3,1.0,1.207
1,3,1,6,229,273,2,2,1.0,1.191
1,3,1,6,230,278,3,3,1.0,1.32
1,3,1,6,231,101,4,4,1.0,2.022
1,3,1,6,232,303,4,4,1.0,1.074
1,3,1,6,233,499,2,2,1.0,2.297
1,3,1,6,234,212,1,1,1.0,3.194
1,3,1,6,235,292,2,2,1.0,3.647
1,3,1,6,236,53,4,4,1.0,2.048
1,3,1,6,237,99,1,1,1.0,1.709
1,3,1,6,238,47,4,4,1.0,1.211
1,3,1,6,239,241,1,1,1.0,3.011
1,3,1,6,240,182,4,4,1.0,2.46
1,3,1,6,241,72,3,3,1.0,1.809
1,3,1,6,242,179,1,1,1.0,1.229
1,3,1,6,243,301,4,4,1.0,1.986
1,3,1,6,244,282,2,2,1.0,2.376
1,3,1,6,245,279,3,3,1.0,2.274
1,3,1,6,246,121,1,1,1.0,1.172
1,3,1,6,247,139,1,1,1.0,0.964
1,3,1,6,248,416,3,3,1.0,1.936
1,3,1,6,249,498,2,2,1.0,1.217
1,3,1,6,250,366,4,4,1.0,1.729
1,3,1,6,251,390,3,3,1.0,0.968
1,3,1,6,252,106,1,1,1.0,1.05
1,3,1,6,253,508,2,2,1.0,2.167
1,3,1,6,254,270,3,3,1.0,1.393
1,3,1,6,255,487,4,4,1.0,1.157
1,3,1,6,256,180,1,1,1.0,1.191
1,3,1,6,257,466,2,2,1.0,1.625
1,3,1,6,258,312,4,4,1.0,1.1
1,3,1,6,259,494,4,4,1.0,0.883
1,3,1,6,260,496,4,4,1.0,0.811
1,3,1,6,261,253,4,4,1.0,1.276
1,3,1,6,262,355,2,2,1.0,2.372
1,3,1,6,263,511,4,4,1.0,0.857
1,3,1,6,264,174,4,4,1.0,0.937
1,3,1,6,265,495,4,4,1.0,1.107
1,3,1,6,266,461,3,3,1.0,1.4
1,3,1,6,267,102,4,4,1.0,1.072
1,3,1,6,268,26,1,1,1.0,1.32
1,3,1,6,269,442,2,2,1.0,0.98
1,3,1,6,270,340,2,2,1.0,4.586
1,3,1,6,271,353,2,2,1.0,0.816
1,3,1,6,272,236,1,1,1.0,1.944
1,3,1,6,273,184,4,4,1.0,1.025
1,3,1,6,274,430,4,4,1.0,1.051
1,3,1,6,275,446,4,4,1.0,1.27
1,3,1,6,276,240,4,4,1.0,1.119
1,3,1,6,277,238,4,4,1.0,1.372
1,3,1,6,278,190,4,4,1.0,1.297
