subID,feature,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
401,1,5,30,4.000,3.917,-0.083,1.000,0.972,-0.028,2,2,1,0.390,0.027,0.014
401,1,2,1,1.750,1.680,-0.070,0.250,0.227,-0.023,2,2,1,0.197,0.022,0.017
401,1,2,2,1.750,1.816,0.066,0.250,0.272,0.022,1,1,1,0.138,0.021,0.017
401,1,2,3,1.750,1.812,0.062,0.250,0.271,0.021,1,1,1,0.184,0.020,0.017
401,1,2,4,1.750,1.808,0.058,0.250,0.269,0.019,2,2,1,0.354,0.018,0.017
401,1,2,5,1.750,1.696,-0.054,0.250,0.232,-0.018,1,1,1,0.799,0.017,0.017
401,1,2,6,1.750,1.700,-0.050,0.250,0.233,-0.017,2,1,0,0.619,0.020,0.016
401,1,2,7,1.750,1.809,0.059,0.250,0.270,0.020,2,1,0,0.139,0.023,0.016
401,1,2,8,1.750,1.818,0.068,0.250,0.273,0.023,2,2,1,0.225,0.022,0.016
401,1,2,9,1.750,1.814,0.064,0.250,0.271,0.021,1,2,0,0.208,0.024,0.016
401,1,2,10,1.750,1.822,0.072,0.250,0.274,0.024,2,2,1,0.396,0.023,0.016
401,1,2,11,1.750,1.681,-0.069,0.250,0.227,-0.023,1,2,0,0.179,0.026,0.015
401,1,2,12,1.750,1.673,-0.077,0.250,0.224,-0.026,1,1,1,0.281,0.025,0.015
401,1,2,13,1.750,1.823,0.073,0.250,0.274,0.024,2,2,1,0.344,0.024,0.015
401,1,2,14,1.750,1.820,0.070,0.250,0.273,0.023,1,1,1,0.481,0.023,0.015
401,1,2,15,1.750,1.683,-0.067,0.250,0.228,-0.022,1,1,1,0.316,0.022,0.015
401,1,2,16,1.750,1.813,0.063,0.250,0.271,0.021,1,1,1,0.566,0.021,0.015
401,1,2,17,1.750,1.810,0.060,0.250,0.270,0.020,1,1,1,0.420,0.019,0.015
401,1,2,18,1.750,1.807,0.057,0.250,0.269,0.019,1,2,0,0.433,0.022,0.015
401,1,2,19,1.750,1.814,0.064,0.250,0.271,0.021,1,1,1,0.795,0.021,0.015
401,1,2,20,1.750,1.811,0.061,0.250,0.270,0.020,2,2,1,0.196,0.020,0.015
401,1,2,21,1.750,1.808,0.058,0.250,0.269,0.019,1,2,0,0.658,0.022,0.015
401,1,2,22,1.750,1.815,0.065,0.250,0.272,0.022,1,2,0,0.270,0.025,0.015
401,1,2,23,1.750,1.823,0.073,0.250,0.274,0.024,2,2,1,0.256,0.024,0.015
401,1,2,24,1.750,1.820,0.070,0.250,0.273,0.023,2,1,0,0.189,0.026,0.014
401,1,2,25,1.750,1.826,0.076,0.250,0.275,0.025,2,2,1,0.059,0.025,0.014
401,1,2,26,1.750,1.676,-0.074,0.250,0.225,-0.025,1,1,1,0.199,0.024,0.014
401,1,2,27,1.750,1.821,0.071,0.250,0.274,0.024,1,2,0,0.945,0.026,0.014
401,1,2,28,1.750,1.827,0.077,0.250,0.276,0.026,2,2,1,0.026,0.025,0.014
401,1,2,29,1.750,1.824,0.074,0.250,0.275,0.025,2,2,1,0.295,0.025,0.014
401,1,2,30,1.750,1.678,-0.072,0.250,0.226,-0.024,1,1,1,0.157,0.024,0.014
401,1,1,1,1.000,1.070,0.070,0.000,0.023,0.023,1,2,0,0.094,0.026,0.016
401,1,1,2,1.000,1.079,0.079,0.000,0.026,0.026,2,2,1,0.138,0.025,0.016
401,1,1,3,1.000,1.075,0.075,0.000,0.025,0.025,2,1,0,0.310,0.028,0.016
401,1,1,4,1.000,1.083,0.083,0.000,0.028,0.028,1,1,1,0.183,0.027,0.016
401,1,1,5,1.000,1.079,0.079,0.000,0.026,0.026,1,1,1,0.151,0.026,0.016
401,1,1,6,1.000,1.076,0.076,0.000,0.025,0.025,2,1,0,0.456,0.028,0.016
401,1,1,7,1.000,1.084,0.084,0.000,0.028,0.028,2,2,1,0.072,0.027,0.016
401,1,1,8,1.000,1.081,0.081,0.000,0.027,0.027,1,2,0,0.395,0.030,0.015
401,1,1,9,1.000,1.088,0.088,0.000,0.029,0.029,2,2,1,0.201,0.029,0.015
401,1,1,10,1.000,1.085,0.085,0.000,0.028,0.028,2,2,1,0.178,0.028,0.015
401,1,1,11,1.000,1.082,0.082,0.000,0.027,0.027,1,1,1,0.343,0.027,0.015
401,1,1,12,1.000,1.079,0.079,0.000,0.026,0.026,1,1,1,0.274,0.026,0.015
401,1,1,13,1.000,1.076,0.076,0.000,0.025,0.025,2,2,1,0.161,0.025,0.015
401,1,1,14,1.000,1.072,0.072,0.000,0.024,0.024,2,2,1,0.131,0.023,0.015
401,1,1,15,1.000,1.069,0.069,0.000,0.023,0.023,2,2,1,0.323,0.022,0.015
401,1,1,16,1.000,1.066,0.066,0.000,0.022,0.022,2,2,1,0.628,0.021,0.015
401,1,1,17,1.000,1.063,0.063,0.000,0.021,0.021,1,1,1,0.256,0.020,0.015
401,1,1,18,1.000,1.060,0.060,0.000,0.020,0.020,2,2,1,0.212,0.019,0.015
401,1,1,19,1.000,1.056,0.056,0.000,0.019,0.019,1,1,1,0.307,0.018,0.015
