iSub,version,condition,iSession,iBlock,iTrial,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,feature1,feature2,feature3,feature4,category,choice,feedback,ambigous,choRT,neck_oral,head_oral,leg_oral,tail_oral,text,human_feature_1,human_feature_2,human_feature_3,human_feature_4,neck_use,head_use,leg_use,tail_use,feature1_use,feature2_use,feature3_use,feature4_use,choice_1_feature_1,choice_1_feature_2,choice_1_feature_3,choice_1_feature_4,choice_2_feature_1,choice_2_feature_2,choice_2_feature_3,choice_2_feature_4
7,1,1,1,1,21,0.654776283671442,0.92364358510277,0.089738663287686,0.95443211808818,0.5,0.5,0.5,0.5,0.654776283671442,0.089738663287686,0.92364358510277,0.95443211808818,4,2,1.0,0,6.593,0.75,0.75,0.25,0.75,腿最短，其余三部分都比较长。,0.75,0.25,0.75,0.75,0,0,1,0,0,1,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,22,0.381227904889326,0.220111317191552,0.341221111937868,0.255952730542662,0.5,0.5,0.5,0.5,0.381227904889326,0.341221111937868,0.220111317191552,0.255952730542662,1,2,0.0,0,19.84,0.75,0.25,0.25,0.25,脖子最长，其余三部分都稍微短一点。,0.75,0.25,0.25,0.25,1,0,0,0,1,0,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,23,0.261667551298549,0.727935898888127,0.88432679903584,0.119039494850591,0.5,0.5,0.5,0.5,0.261667551298549,0.88432679903584,0.727935898888127,0.119039494850591,2,2,0.0,0,7.681,0.525,0.775,0.775,0.4,尾巴最短，脖子也比较短，头和腿很长。,0.525,0.775,0.775,0.4,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,24,0.690737149251448,0.149349156181159,0.090007270594998,0.82553964657456,0.5,0.5,0.5,0.5,0.690737149251448,0.090007270594998,0.149349156181159,0.82553964657456,3,2,1.0,0,17.162,0.75,0.25,0.25,0.75,头和腿很短，脖子和尾巴很长。,0.75,0.25,0.25,0.75,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,25,0.337024423694971,0.180583320120189,0.156634736924215,0.661349605730384,0.5,0.5,0.5,0.5,0.337024423694971,0.156634736924215,0.180583320120189,0.661349605730384,1,2,0.0,0,10.889,0.5,0.25,0.25,0.75,头和腿都很短，尾巴很长。,0.5,0.25,0.25,0.75,0,1,1,1,0,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,26,0.573299899881606,0.87599363110087,0.264768489461332,0.95146963011856,0.5,0.5,0.5,0.5,0.573299899881606,0.264768489461332,0.87599363110087,0.95146963011856,4,1,0.0,0,13.767,0.75,0.75,0.25,0.75,尾巴、头和脖子很长，腿比较短。,0.75,0.25,0.75,0.75,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,27,0.81483329552625,0.81822638790461,0.532299282190615,0.534807325641884,0.5,0.5,0.5,0.5,0.81483329552625,0.532299282190615,0.81822638790461,0.534807325641884,4,1,0.0,0,28.099,0.75,0.75,0.25,0.25,尾巴和腿比较短，头和脖子很长。,0.75,0.25,0.75,0.25,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,28,0.88401355246833,0.423222660382391,0.448091140374584,0.80706156515006,0.5,0.5,0.5,0.5,0.88401355246833,0.448091140374584,0.423222660382391,0.80706156515006,3,2,1.0,0,25.39,0.75,0.25,0.25,0.75,头和腿比较短，脖子和尾巴比较长。,0.75,0.25,0.25,0.75,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,29,0.623863973949867,0.78727744245363,0.162353189912868,0.039171375470405,0.5,0.5,0.5,0.5,0.623863973949867,0.162353189912868,0.78727744245363,0.039171375470405,4,1,0.0,0,22.141,0.75,0.75,0.25,0.25,头和脖子比较长，尾巴和腿比较短。,0.75,0.25,0.75,0.25,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,30,0.96887083400075,0.143424323687998,0.69673948635812,0.38749092266071,0.5,0.5,0.5,0.5,0.96887083400075,0.69673948635812,0.143424323687998,0.38749092266071,3,2,1.0,0,32.843,0.775,0.4,0.775,0.8,头最短，腿和脖子比较长。,0.775,0.775,0.4,0.8,1,1,1,0,1,1,1,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
