iSub,type,iTrial,body_ori,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle
22,target,44,1,0.666666666666667,0.666666666666667,1.0,1.0,0.5,0.5,0.5,0.5
22,target,45,1,0.333333333333333,0.5,1.0,0.666666666666667,0.5,0.5,0.5,0.5
22,target,46,-1,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.5,0.5,0.5,0.5
22,target,47,1,0.833333333333333,0.833333333333333,0.0,0.666666666666667,0.5,0.5,0.5,0.5
22,target,48,1,0.5,0.666666666666667,0.833333333333333,0.333333333333333,0.5,0.5,0.5,0.5
22,target,49,-1,0.5,1.0,0.833333333333333,0.666666666666667,0.5,0.5,0.5,0.5
22,target,50,1,0.333333333333333,0.5,0.333333333333333,0.166666666666667,0.5,0.5,0.5,0.5
22,target,51,1,1.0,0.0,0.833333333333333,0.5,0.5,0.5,0.5,0.5
22,target,52,-1,0.166666666666667,0.333333333333333,0.5,0.0,0.5,0.5,0.5,0.5
22,target,53,-1,0.666666666666667,0.166666666666667,0.833333333333333,0.5,0.5,0.5,0.5,0.5
22,target,54,-1,0.333333333333333,0.166666666666667,0.5,0.166666666666667,0.5,0.5,0.5,0.5
22,target,55,1,0.666666666666667,0.833333333333333,0.166666666666667,0.333333333333333,0.5,0.5,0.5,0.5
22,target,56,-1,0.0,0.333333333333333,0.833333333333333,0.0,0.5,0.5,0.5,0.5
22,target,57,-1,0.333333333333333,0.166666666666667,0.5,0.166666666666667,0.5,0.5,0.5,0.5
22,target,58,1,0.5,0.0,0.666666666666667,0.333333333333333,0.5,0.5,0.5,0.5
22,target,59,-1,0.166666666666667,0.0,0.333333333333333,0.166666666666667,0.5,0.5,0.5,0.5
22,target,60,1,0.666666666666667,0.666666666666667,0.0,0.166666666666667,0.5,0.5,0.5,0.5
22,target,61,1,0.0,1.0,0.333333333333333,0.0,0.5,0.5,0.5,0.5
22,target,62,1,0.0,0.333333333333333,0.666666666666667,0.833333333333333,0.5,0.5,0.5,0.5
22,target,63,1,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0.5
22,target,64,-1,0.666666666666667,1.0,0.666666666666667,0.0,0.5,0.5,0.5,0.5
22,target,65,1,1.0,0.166666666666667,0.5,0.833333333333333,0.5,0.5,0.5,0.5
22,target,66,1,0.166666666666667,0.333333333333333,0.333333333333333,1.0,0.5,0.5,0.5,0.5
22,target,67,-1,1.0,0.333333333333333,1.0,1.0,0.5,0.5,0.5,0.5
22,target,68,1,0.833333333333333,0.333333333333333,0.5,0.166666666666667,0.5,0.5,0.5,0.5
22,target,69,-1,0.666666666666667,0.166666666666667,1.0,0.833333333333333,0.5,0.5,0.5,0.5
