iSub,feature_name,feature_value,error_mean,error_std
131,tail,0.0,0.016605726624665924,0.0266802223378986
131,tail,0.166666666666667,0.028265638334024436,0.03194424053738957
131,tail,0.333333333333333,-0.0014731633764029789,0.059017559448382134
131,tail,0.5,0.002723697979329646,0.056313395452301684
131,tail,0.666666666666667,-0.01755833167519947,0.1235597705405486
131,tail,0.833333333333333,-0.06359987821743053,0.08714231051726667
131,tail,1.0,-0.07659209078255393,0.07823799564475406
132,head,0.0,-0.00013024047051607144,0.001451964828521053
132,head,0.166666666666667,-0.008772676011934492,0.02290525535155167
132,head,0.333333333333333,-0.015313978544936555,0.04420784609093595
132,head,0.5,-0.016358905468976066,0.048987419861776946
132,head,0.666666666666667,-0.03206292325256948,0.05273380983672808
132,head,0.833333333333333,-0.04517060528478018,0.08015246510409253
132,head,1.0,-0.028119335392246432,0.04669708580738824
132,leg,0.0,-0.0015856353185185715,0.0012675438498124195
132,leg,0.166666666666667,-0.000642089210528418,0.022308305391600166
132,leg,0.333333333333333,-0.01741005354616513,0.031387867193589554
132,leg,0.5,-0.003364843695468215,0.040171367790776416
132,leg,0.666666666666667,0.002577907522083744,0.03493198601865663
132,leg,0.833333333333333,0.0006579770820687487,0.022493608355938104
132,leg,1.0,-0.006486585093864271,0.01705227744755113
132,neck,0.0,0.0013900205053614285,0.0018961012078290997
132,neck,0.166666666666667,-0.020854341086366277,0.025563856244183416
132,neck,0.333333333333333,0.010254781593888448,0.04121682200155495
132,neck,0.5,-0.007193543442502866,0.05350531316145783
132,neck,0.666666666666667,-0.003980339073415892,0.07332520872557222
132,neck,0.833333333333333,-0.03655825181584697,0.07215638091227057
132,neck,1.0,-0.011515648740813927,0.03586007080838141
132,tail,0.0,0.0010058092990067858,0.0007859394819210362
132,tail,0.166666666666667,-0.011195502914147348,0.024136492353103247
132,tail,0.333333333333333,-0.022265805025779056,0.037557843925513514
132,tail,0.5,-0.03015356312127287,0.05667368710517689
132,tail,0.666666666666667,-0.020602417821141965,0.08791071497117142
132,tail,0.833333333333333,-0.035029635388012674,0.0542814743216413
132,tail,1.0,-0.03504158018356608,0.06888738740774694
225,head,0.0,0.011076457498617501,0.02361148256650654
225,head,0.166666666666667,0.007721608865677828,0.03187805972112455
225,head,0.333333333333333,-0.001867930837703698,0.030785528429733918
225,head,0.5,-0.006791175888695007,0.045310768979064095
225,head,0.666666666666667,-0.01725404901107555,0.06886395519101021
225,head,0.833333333333333,0.042431419081093394,0.07272086293511648
225,head,1.0,-0.004209099351737859,0.016402501852759207
225,leg,0.0,0.0002356391866382143,0.0012468853739724985
225,leg,0.166666666666667,-0.007902344945635565,0.01854289415221207
225,leg,0.333333333333333,-0.01793730121077834,0.027635360549618182
225,leg,0.5,-0.0052518889999264295,0.05351453019612075
225,leg,0.666666666666667,0.015571965429159106,0.025220205084618946
225,leg,0.833333333333333,-0.00021242491893933322,0.029638069114070745
225,leg,1.0,-0.0003769378853417858,0.0019944957347726093
225,neck,0.0,0.006806212111874815,0.014793668816938478
225,neck,0.166666666666667,0.005902113001060151,0.044161849092416904
225,neck,0.333333333333333,0.01673315480031738,0.058822870091450895
225,neck,0.5,0.007915813737667494,0.045775981935735705
225,neck,0.666666666666667,0.0581265087217384,0.06548251988648802
225,neck,0.833333333333333,0.06704135372067875,0.07669416525069304
225,neck,1.0,-0.007289363321709644,0.03857168513047886
225,tail,0.0,0.012160959387647038,0.0252199222256612
225,tail,0.166666666666667,0.01305299181476515,0.02659378704701715
225,tail,0.333333333333333,0.003387303109607727,0.0431458246489722
225,tail,0.5,0.014394598564004645,0.07373169815713708
225,tail,0.666666666666667,0.020975012316391962,0.07787893658005468
225,tail,0.833333333333333,0.041967504041018754,0.08774231201241747
225,tail,1.0,-0.009650127664183569,0.035799436802577626
226,head,0.0,0.005661924429224642,0.012335052493896272
226,head,0.166666666666667,-0.025955616611670562,0.031653567487602126
226,head,0.333333333333333,-0.024400538842142976,0.04058601543387968
226,head,0.5,-0.0016017573663817755,0.05456929688503672
226,head,0.666666666666667,-0.029141340501080887,0.05859813085784682
226,head,0.833333333333333,-0.004525318735413041,0.08384878112768712
226,head,1.0,-0.02619341433457,0.03746621354253874
226,leg,0.0,0.002108022363277143,0.007909182046812102
226,leg,0.166666666666667,-0.0056667317367605635,0.022786660520323274
226,leg,0.333333333333333,-0.011737083009039766,0.026299735250209597
226,leg,0.5,0.017946931357889644,0.03676978712779052
226,leg,0.666666666666667,0.01903511423164553,0.02776386291005139
226,leg,0.833333333333333,0.015406385665658742,0.02678043637433994
226,leg,1.0,-0.002544886023100363,0.002612591977671172
226,neck,0.0,0.009876393775277856,0.013986494095538168
226,neck,0.166666666666667,-0.018104799761505915,0.02323949349602191
226,neck,0.333333333333333,-0.020247542834986195,0.040774844189315214
226,neck,0.5,-0.007992978584712143,0.04280988574685951
226,neck,0.666666666666667,-0.0018261475967108912,0.06419077425033787
226,neck,0.833333333333333,0.006789985043221968,0.06633650510731334
