iSub,condition,feature1_name,feature2_name,feature3_name,feature4_name,iSession,iRun,iTrial,feature1,feature2,feature3,feature4,category,choice,rating,feedback,ambiguous,choRT,text,A,b,n_constraints,matched_rules,un_pro
333,3,green,yellow,pink,blue,1,2,43,0.673328248808855,0.875053347020122,0.449303071468478,0.217250380267658,3,4,1,0.5,0,2.877,,,,,,
333,3,green,yellow,pink,blue,1,2,44,0.548263790335234,0.79357609248907,0.0850005532883895,0.128146078685893,3,1,1,0.0,1,0.569,,,,,,
333,3,green,yellow,pink,blue,1,2,45,0.734902178071617,0.801159991328717,0.622339527862731,0.263512123168346,4,4,1,1.0,0,2.72,,,,,,
333,3,green,yellow,pink,blue,1,2,46,0.304924051515122,0.54318640403044,0.480623410518346,0.277144261142359,2,2,1,1.0,1,2.482,,,,,,
333,3,green,yellow,pink,blue,1,2,47,0.115177122259193,0.379372327969644,0.42120741313032,0.892623997819066,1,2,2,0.5,0,0.443,,,,,,
333,3,green,yellow,pink,blue,1,2,48,0.786071805568956,0.243030716653047,0.0430523534037094,0.807221626302438,3,3,2,1.0,0,1.575,,,,,,
333,3,green,yellow,pink,blue,1,2,49,0.097363208057821,0.694150222062143,0.0331232434958778,0.597434020539696,2,3,1,0.0,0,2.3,,,,,,
333,3,green,yellow,pink,blue,1,2,50,0.148284582469214,0.835934486478226,0.980925402439669,0.309388214773432,2,1,1,0.5,0,1.316,,,,,,
333,3,green,yellow,pink,blue,1,2,51,0.957556090234298,0.75068187966773,0.474626203316088,0.885318449454633,3,3,1,1.0,1,3.426,,,,,,
333,3,green,yellow,pink,blue,1,2,52,0.144791157673957,0.048293663116095,0.086721121230573,0.540935738707139,1,1,2,1.0,0,6.347,,,,,,
333,3,green,yellow,pink,blue,1,2,53,0.762150499210794,0.208487502261558,0.307281279900562,0.0863666770173886,3,4,2,0.5,0,3.033,,,,,,
333,3,green,yellow,pink,blue,1,2,54,0.495714205277787,0.514902773558037,0.407266865021864,0.767461186683123,2,2,1,1.0,1,4.019,,,,,,
333,3,green,yellow,pink,blue,1,2,55,0.644172553640729,0.753557700678155,0.995548465487242,0.918082544896002,4,2,2,0.0,0,0.879,,,,,,
333,3,green,yellow,pink,blue,1,2,56,0.456493627391345,0.238836307319485,0.267928371076376,0.776742520530591,1,3,1,0.0,1,3.67,,,,,,
333,3,green,yellow,pink,blue,1,2,57,0.519536201331106,0.474341682106941,0.453585445305823,0.149843374820798,3,4,2,0.5,1,4.732,,,,,,
333,3,green,yellow,pink,blue,1,2,58,0.468765954689914,0.810514305936315,0.0134801679307477,0.749981163933274,2,3,2,0.0,1,2.422,,,,,,
333,3,green,yellow,pink,blue,1,2,59,0.301121366366183,0.081104690847175,0.559778564180917,0.336687098395901,1,1,2,1.0,0,12.759,,,,,,
333,3,green,yellow,pink,blue,1,2,60,0.287553374242272,0.885378573724251,0.608418942695846,0.882221194022763,2,2,1,1.0,0,1.477,,,,,,
333,3,green,yellow,pink,blue,1,2,61,0.856245391116627,0.114017524797255,0.899118765110629,0.440914365799874,4,3,1,0.5,0,4.254,,,,,,
333,3,green,yellow,pink,blue,1,2,62,0.112271313079764,0.720166716205716,0.896562988144801,0.560827824350063,2,1,1,0.5,0,4.843,,,,,,
333,3,green,yellow,pink,blue,1,2,63,0.621108567330535,0.264367890715012,0.788830705412681,0.483150574654749,4,4,1,1.0,0,2.995,,,,,,
333,3,green,yellow,pink,blue,1,2,64,0.364722132285368,0.270783175619408,0.919435429132033,0.353445502080976,1,1,1,1.0,0,12.793,,,,,,
