f1_length,f2_length,f3_length,f4_length,timestamp
1,0.88871247016411,0.36710028500471,0.95425190701032,1769670264427
1,0.88871247016411,0.42943351789502,0.95425190701032,1769670264444
1,0.88871247016411,0.44263858158926,0.95425190701032,1769670264460
1,0.88871247016411,0.44921325646545,0.95425190701032,1769670264477
1,0.88871247016411,0.45578770313909,0.95425190701032,1769670264662
1,0.88871247016411,0.46888227316106,0.95425190701032,1769670264740
1,0.88871247016411,0.48197684318303,0.95425190701032,1769670264748
1,0.88871247016411,0.50816598322698,0.95425190701032,1769670264760
1,0.88871247016411,0.55402113298281,0.95425190701032,1769670264777
1,0.88871247016411,0.59330484304873,0.95425190701032,1769670264794
1,0.88871247016411,0.60639941307071,0.95425190701032,1769670264810
1,0.88871247016411,0.63258855311465,0.95425190701032,1769670264827
1,0.88871247016411,0.66534644020515,0.95425190701032,1769670264844
1,0.88871247016411,0.67191504700908,0.95425190701032,1769670265176
1,0.88871247016411,0.68509380314767,0.95425190701032,1769670265184
1,0.88871247016411,0.69166199917011,0.95425190701032,1769670265207
1,0.88871247016411,0.69823006204746,0.95425190701032,1769670265898
1,0.88871247016411,0.67860938775366,0.95425190701032,1769670265960
1,0.88871247016411,0.67208342096484,0.95425190701032,1769670265984
1,0.88871247016411,0.66555759345251,0.95425190701032,1769670265999
1,0.88871247016411,0.65246302343054,0.95425190701032,1769670266010
1,0.88871247016411,0.62627388338659,0.95425190701032,1769670266027
1,0.88871247016411,0.61326988772775,0.95425190701032,1769670266044
1,0.88871247016411,0.59365115469748,0.95425190701032,1769670266060
1,0.88871247016411,0.58712715557641,0.95425190701032,1769670266110
1,0.88871247016411,0.58060332267818,0.95425190701032,1769670266127
1,0.88871247016411,0.5740796583886,0.95425190701032,1769670266522
1,0.88871247016411,0.58717422841057,0.95425190701032,1769670266586
1,0.88871247016411,0.60026879843255,0.95425190701032,1769670266594
1,0.88871247016411,0.60683888110767,0.95425190701032,1769670266610
1,0.88871247016411,0.59383678403758,0.95425190701032,1769670266990
1,0.88871247016411,0.56802818823351,0.95425190701032,1769670266998
1,0.88871247016411,0.56150485588529,0.95425190701032,1769670269128
1,0.88871247016411,0.56160066012547,0.95425190701032,1769670269143
1,0.88871247016411,0.54217916232805,0.95425190701032,1769670269160
1,0.88871247016411,0.52276266359624,0.95425190701032,1769670269177
1,0.88871247016411,0.490676774689,0.95425190701032,1769670269193
1,0.88871247016411,0.46491735911999,0.95425190701032,1769670269210
1,0.88871247016411,0.42048088854747,0.95425190701032,1769670269227
1,0.88871247016411,0.37613176767262,0.95425190701032,1769670269244
1,0.88871247016411,0.33188144902045,0.95425190701032,1769670269260
1,0.88871247016411,0.24857437385905,0.95425190701032,1769670269277
1,0.88871247016411,0.11343833676897,0.95425190701032,1769670269294
1,0.88871247016411,0,0.95425190701032,1769670269310
1,0.88871247016411,0,0.95425190701032,1769670269327
1,0.88871247016411,0,0.95425190701032,1769670269343
1,0.88871247016411,0,0.95425190701032,1769670269360
1,0.88871247016411,0,0.95425190701032,1769670269377
1,0.88871247016411,0,0.95425190701032,1769670269393
1,0.88871247016411,0,0.95425190701032,1769670269422
1,0.88871247016411,0,0.95425190701032,1769670269460
1,0.88871247016411,0,0.95425190701032,1769670269477
