iSub,ruleID,iSession,iBlock,iTrial,stiID,feature1,feature2,feature3,feature4,feature5,category,choice,presskey,rating,feedback,choRT,rateRT,recDU,text,fidelity,Intercept,X1,X2,X3,X4,X5,X1*X2,X1*X3,X1*X4,X1*X5,X2*X3,X2*X4,X2*X5,X3*X4,X3*X5,X4*X5,X1*X2*X3,X1*X2*X4,X1*X2*X5,X1*X3*X4,X1*X3*X5,X1*X4*X5,X2*X3*X4,X2*X3*X5,X2*X4*X5,X3*X4*X5,X1*X2*X3*X4,X1*X2*X3*X5,X1*X2*X4*X5,X1*X3*X4*X5,X2*X3*X4*X5,X1*X2*X3*X4*X5,rule_result
501,1,1,1,52,27,1,1,-1,1,-1,1,1,1,6,1,1.413,0.391,2.969,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,53,12,-1,1,-1,1,1,1,1,1,6,1,1.055,1.13,3.297,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,54,8,-1,-1,1,1,1,2,2,2,6,1,0.703,1.918,3.676,第2和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,55,5,-1,-1,1,-1,-1,1,1,1,6,1,1.186,1.114,3.029,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,56,30,1,1,1,-1,1,2,2,2,6,1,0.687,0.71,3.525,第2和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,57,10,-1,1,-1,-1,1,2,2,2,6,1,2.425,2.832,3.361,第2和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,58,28,1,1,-1,1,1,1,1,1,6,1,2.299,0.947,2.589,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,59,10,-1,1,-1,-1,1,2,2,2,6,1,1.14,0.905,3.009,第2和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,60,22,1,-1,1,-1,1,1,1,1,6,1,1.351,0.991,2.983,第2和第4个格子的颜色相同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,61,14,-1,1,1,-1,1,2,2,2,6,1,0.867,0.269,2.898,第2和第4个格子的颜色不同。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
